,centries,titles,authors,scores,votes,website,average rating,times rated
16572,20th,The Jules Verne Steam Balloon: Nine Stories,Guy Davenport,31,1,https://www.goodreads.com/book/show/1477308.The_Jules_Verne_Steam_Balloon,4.16,62.0
16573,20th,Cybernetics: or the Control and Communication in the Animal and the Machine,Norbert Wiener,31,1,https://www.goodreads.com/book/show/294941.Cybernetics,4.02,622.0
16574,20th,The Forsyte Saga: The Man of Property,John Galsworthy,31,1,https://www.goodreads.com/book/show/6928972-the-forsyte-saga,4.01,4152.0
16575,20th,Hurlbut's Story of the Bible For Young And Old: A continuous narrative of the Scriptures told in one hundred sixty - eight stories,Jesse Lyman Hurlbut,31,1,https://www.goodreads.com/book/show/21902285-hurlbut-s-story-of-the-bible-for-young-and-old,4.69,32.0
16576,20th,"Sharpe's Prey (Sharpe, #5)",Bernard Cornwell,31,1,https://www.goodreads.com/book/show/492919.Sharpe_s_Prey,4.07,10074.0
16577,20th,A Childhood in Scotland,Christian Miller,31,1,https://www.goodreads.com/book/show/2106016.A_Childhood_in_Scotland,4.15,81.0
16578,20th,Green Centuries,Caroline Gordon,30,1,https://www.goodreads.com/book/show/2040908.Green_Centuries,4.23,22.0
16579,20th,Stalin,Edvard Radzinsky,30,1,https://www.goodreads.com/book/show/93653.Stalin,4.04,1652.0
16580,20th,Behind the Attic Wall,Sylvia Cassedy,30,1,https://www.goodreads.com/book/show/831842.Behind_the_Attic_Wall,4.05,5630.0
16581,20th,"The Day of the Klesh (Ler, #3)",M.A. Foster,30,1,https://www.goodreads.com/book/show/3555630-the-day-of-the-klesh,3.65,72.0
16583,20th,"Vittorio, The Vampire (New Tales of the Vampires, #2)",Anne Rice,30,1,https://www.goodreads.com/book/show/31342.Vittorio_The_Vampire,3.53,26806.0
16584,20th,Enemies: A Love Story,Isaac Bashevis Singer,30,1,https://www.goodreads.com/book/show/25739.Enemies,3.96,2920.0
16585,20th,Don't Look Behind You,Lois Duncan,30,1,https://www.goodreads.com/book/show/47756.Don_t_Look_Behind_You,3.72,4988.0
16586,20th,"Midnight Rainbow (Rescues, #1)",Linda Howard,30,1,https://www.goodreads.com/book/show/350523.Midnight_Rainbow,3.91,5210.0
16587,20th,The One That Got Away,Chris Ryan,30,1,https://www.goodreads.com/book/show/984139.The_One_That_Got_Away,4.1,3971.0
16588,20th,Welcome to Kirsten's World · 1854: Growing Up in Pioneer America,Susan Sinnott,30,1,https://www.goodreads.com/book/show/64974.Welcome_to_Kirsten_s_World_1854,4.29,316.0
16589,20th,Blueberries for Sal,Robert McCloskey,30,2,https://www.goodreads.com/book/show/133526.Blueberries_for_Sal,4.2,71131.0
16590,20th,Scandinavian Fairy Tales,Giordano Pitt,30,1,https://www.goodreads.com/book/show/750523.Scandinavian_Fairy_Tales,4.12,8.0
16591,20th,Great Lion of God,Taylor Caldwell,30,1,https://www.goodreads.com/book/show/369077.Great_Lion_of_God,4.16,2307.0
16592,20th,Sleepy Bears,Mem Fox,30,1,https://www.goodreads.com/book/show/562482.Sleepy_Bears,4.02,325.0
16593,20th,Fail-Safe,Eugene Burdick,30,1,https://www.goodreads.com/book/show/1972170.Fail_Safe,4.16,5478.0
16594,20th,"The Brimming Cup (Neale and Marise, #2)",Dorothy Canfield Fisher,30,1,https://www.goodreads.com/book/show/2175877.The_Brimming_Cup,3.61,71.0
16595,20th,Our Hearts Were Young and Gay: An Unforgettable Comic Chronicle of Innocents Abroad in the 1920s,Cornelia Otis Skinner,30,1,https://www.goodreads.com/book/show/251882.Our_Hearts_Were_Young_and_Gay,4.09,1746.0
16596,20th,The Last Wife of Henry VIII,Carolly Erickson,30,1,https://www.goodreads.com/book/show/10105.The_Last_Wife_of_Henry_VIII,3.89,11546.0
16597,20th,The Moving Body,Jacques Lecoq,30,1,https://www.goodreads.com/book/show/807636.The_Moving_Body,4.33,332.0
16598,20th,A Table of Green Fields: Stories,Guy Davenport,30,1,https://www.goodreads.com/book/show/761250.A_Table_of_Green_Fields,4.24,51.0
16599,20th,The Blitzed Brits,Terry Deary,30,1,https://www.goodreads.com/book/show/423929.The_Blitzed_Brits,4.01,1465.0
16600,20th,Economia în şapte lecţii: Gânduri pentru cei de azi și cei de mâine,Ludwig von Mises,30,1,https://www.goodreads.com/book/show/18899860-economia-n-apte-lec-ii,4.4,1363.0
16601,20th,The Season: A Candid Look at Broadway,William Goldman,30,1,https://www.goodreads.com/book/show/18883257-the-season,4.09,381.0
16602,20th,Smith's Bible Dictionary,William Smith,30,1,https://www.goodreads.com/book/show/1877774.Smith_s_Bible_Dictionary,3.94,63.0
16603,20th,"Army Letters from an Officer's Wife, 1871-1888",Frances M.A. Roe,30,1,https://www.goodreads.com/book/show/18954857-army-letters-from-an-officer-s-wife-1871-1888,4.07,59.0
16604,20th,The Undiscovered Self/Symbols and the Interpretation of Dreams,C.G. Jung,30,1,https://www.goodreads.com/book/show/9677169-the-undiscovered-self-symbols-and-the-interpretation-of-dreams,4.29,815.0
16605,20th,The Rape of Nanking,Iris Chang,30,1,https://www.goodreads.com/book/show/95784.The_Rape_of_Nanking,4.15,33383.0
16606,20th,"Aleck Maury, Sportsman",Caroline Gordon,29,1,https://www.goodreads.com/book/show/1883028.Aleck_Maury_Sportsman,4.13,23.0
16607,20th,Run Man Run,Chester Himes,29,1,https://www.goodreads.com/book/show/3130652-run-man-run,3.76,215.0
16608,20th,334,Thomas M. Disch,29,1,https://www.goodreads.com/book/show/351985.334,3.65,1078.0
16609,20th,Heartstones,Ruth Rendell,29,1,https://www.goodreads.com/book/show/361615.Heartstones,3.69,663.0
