,centries,titles,authors,scores,votes,website,average rating,times rated
0,21st,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,404621,4090,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,4.62,3251140.0
1,21st,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,303629,3099,https://www.goodreads.com/book/show/2767052-the-hunger-games,4.32,7388811.0
2,21st,The Kite Runner,Khaled Hosseini,267828,2720,https://www.goodreads.com/book/show/77203.The_Kite_Runner,4.32,2770278.0
3,21st,The Book Thief,Markus Zusak,262059,2669,https://www.goodreads.com/book/show/19063.The_Book_Thief,4.38,2179181.0
4,21st,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,226675,2334,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,4.57,2844800.0
5,21st,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,205942,2139,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,4.5,2937547.0
6,21st,The Help,Kathryn Stockett,169663,1755,https://www.goodreads.com/book/show/4667024-the-help,4.46,2449635.0
7,21st,A Thousand Splendid Suns,Khaled Hosseini,166832,1708,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,4.4,1330044.0
8,21st,Life of Pi,Yann Martel,152884,1569,https://www.goodreads.com/book/show/4214.Life_of_Pi,3.93,1482273.0
9,21st,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,150868,1583,https://www.goodreads.com/book/show/6148028-catching-fire,4.3,2976501.0
10,21st,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,146009,1518,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,4.15,2905583.0
11,21st,The Time Traveler's Wife,Audrey Niffenegger,141801,1456,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,3.99,1682957.0
12,21st,The Fault in Our Stars,John Green,132912,1385,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,4.16,4332474.0
13,21st,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,127243,1325,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,3.89,2146768.0
14,21st,The Road,Cormac McCarthy,123656,1268,https://www.goodreads.com/book/show/6288.The_Road,3.98,797312.0
15,21st,The Curious Incident of the Dog in the Night-Time,Mark Haddon,113476,1184,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,3.89,1342728.0
16,21st,Water for Elephants,Sara Gruen,112654,1173,https://www.goodreads.com/book/show/43641.Water_for_Elephants,4.1,1500646.0
17,21st,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,105458,1130,https://www.goodreads.com/book/show/7260188-mockingjay,4.06,2732563.0
18,21st,Middlesex,Jeffrey Eugenides,87540,904,https://www.goodreads.com/book/show/2187.Middlesex,4.02,612285.0
19,21st,The Lovely Bones,Alice Sebold,86781,913,https://www.goodreads.com/book/show/12232938-the-lovely-bones,3.83,2186891.0
20,21st,"Divergent (Divergent, #1)",Veronica Roth,85031,910,https://www.goodreads.com/book/show/13335037-divergent,4.16,3439650.0
21,21st,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,84648,888,https://www.goodreads.com/book/show/41865.Twilight,3.63,5747544.0
22,21st,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,84110,895,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,4.28,2448752.0
23,21st,Atonement,Ian McEwan,82598,865,https://www.goodreads.com/book/show/6867.Atonement,3.92,479473.0
24,21st,"American Gods (American Gods, #1)",Neil Gaiman,78401,815,https://www.goodreads.com/book/show/30165203-american-gods,4.11,842459.0
25,21st,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,77410,808,https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind,4.28,548913.0
26,21st,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,75393,799,https://www.goodreads.com/book/show/256683.City_of_Bones,4.08,1825883.0
27,21st,The Secret Life of Bees,Sue Monk Kidd,72814,769,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees,4.07,1204923.0
28,21st,The Glass Castle,Jeannette Walls,72241,761,https://www.goodreads.com/book/show/7445.The_Glass_Castle,4.29,1040178.0
29,21st,Extremely Loud & Incredibly Close,Jonathan Safran Foer,71905,743,https://www.goodreads.com/book/show/4588.Extremely_Loud_Incredibly_Close,3.97,403353.0
30,21st,"Angels & Demons (Robert Langdon, #1)",Dan Brown,68378,729,https://www.goodreads.com/book/show/960.Angels_Demons,3.92,2952239.0
31,21st,My Sister's Keeper,Jodi Picoult,68296,722,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,4.09,1135313.0
32,21st,Never Let Me Go,Kazuo Ishiguro,65410,688,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,3.84,571599.0
33,21st,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,62831,679,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,4.24,867868.0
35,21st,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,51623,550,https://www.goodreads.com/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society,4.18,686383.0
36,21st,"The Host (The Host, #1)",Stephenie Meyer,51569,553,https://www.goodreads.com/book/show/1656001.The_Host,3.85,956153.0
37,21st,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,51279,554,https://www.goodreads.com/book/show/1162543.Breaking_Dawn,3.72,1510662.0
38,21st,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,49820,547,https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,4.23,693358.0
39,21st,"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,49810,541,https://www.goodreads.com/book/show/428263.Eclipse,3.71,1615109.0
40,21st,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,47827,495,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,4.52,831847.0
41,21st,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,46663,497,https://www.goodreads.com/book/show/19501.Eat_Pray_Love,3.6,1616175.0
42,21st,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,46255,507,https://www.goodreads.com/book/show/49041.New_Moon,3.57,1692412.0
43,21st,Kafka on the Shore,Haruki Murakami,45347,474,https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore,4.14,381339.0
44,21st,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,42209,458,https://www.goodreads.com/book/show/3777732-city-of-glass,4.29,888565.0
45,21st,The Graveyard Book,Neil Gaiman,41861,448,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,4.14,488913.0
46,21st,Room,Emma Donoghue,41037,443,https://www.goodreads.com/book/show/31685789-room,4.07,768341.0
47,21st,Gone Girl,Gillian Flynn,39297,430,https://www.goodreads.com/book/show/19288043-gone-girl,4.11,2677371.0
48,21st,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,37898,419,https://www.goodreads.com/book/show/1582996.City_of_Ashes,4.13,850871.0
50,21st,The Corrections,Jonathan Franzen,36207,382,https://www.goodreads.com/book/show/3805.The_Corrections,3.81,170092.0
51,21st,The Night Circus,Erin Morgenstern,36107,387,https://www.goodreads.com/book/show/9361589-the-night-circus,4.03,824166.0
52,21st,The Brief Wondrous Life of Oscar Wao,Junot Díaz,35490,371,https://www.goodreads.com/book/show/297673.The_Brief_Wondrous_Life_of_Oscar_Wao,3.89,247854.0
53,21st,The Devil in the White City,Erik Larson,35070,376,https://www.goodreads.com/book/show/21996.The_Devil_in_the_White_City,3.99,603189.0
54,21st,The Thirteenth Tale,Diane Setterfield,32998,352,https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale,3.97,296646.0
55,21st,Bel Canto,Ann Patchett,32723,349,https://www.goodreads.com/book/show/5826.Bel_Canto,3.93,261198.0
56,21st,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,32700,354,https://www.goodreads.com/book/show/12691.Marley_and_Me,4.13,460364.0
57,21st,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,32648,353,https://www.goodreads.com/book/show/18660669-vampire-academy,4.11,606221.0
58,21st,The Art of Racing in the Rain,Garth Stein,32492,351,https://www.goodreads.com/book/show/3153910-the-art-of-racing-in-the-rain,4.22,483297.0
59,21st,No Country for Old Men,Cormac McCarthy,32307,343,https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men,4.12,171392.0
60,21st,A Short History of Nearly Everything,Bill Bryson,32197,343,https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything,4.2,347472.0
61,21st,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,32106,351,https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl,4.07,479056.0
62,21st,The Historian,Elizabeth Kostova,31985,341,https://www.goodreads.com/book/show/10692.The_Historian,3.79,256145.0
63,21st,"The Complete Persepolis (Persepolis, #1-4)",Marjane Satrapi,31985,340,https://www.goodreads.com/book/show/991197.The_Complete_Persepolis,4.37,155017.0
65,21st,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,31127,330,https://www.goodreads.com/book/show/46756.Oryx_and_Crake,4.01,244781.0
66,21st,Everything Is Illuminated,Jonathan Safran Foer,30817,325,https://www.goodreads.com/book/show/256566.Everything_Is_Illuminated,3.89,173567.0
67,21st,Snow Flower and the Secret Fan,Lisa See,30469,333,https://www.goodreads.com/book/show/1103.Snow_Flower_and_the_Secret_Fan,4.08,358012.0
68,21st,All the Light We Cannot See,Anthony Doerr,29334,317,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,4.32,1295442.0
69,21st,Jonathan Strange & Mr Norrell,Susanna Clarke,28760,303,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,3.84,219962.0
70,21st,The Memory Keeper's Daughter,Kim Edwards,26710,294,https://www.goodreads.com/book/show/10441.The_Memory_Keeper_s_Daughter,3.69,583579.0
71,21st,The God Delusion,Richard Dawkins,25147,264,https://www.goodreads.com/book/show/14743.The_God_Delusion,3.9,253359.0
72,21st,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,25121,269,https://www.goodreads.com/book/show/8664353-unbroken,4.36,862689.0
73,21st,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,24960,260,https://www.goodreads.com/book/show/28881.Lamb,4.22,165482.0
74,21st,The Shack,William Paul Young,24349,261,https://www.goodreads.com/book/show/40874325-the-shack,3.8,593385.0
75,21st,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,23762,258,https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea,3.66,339959.0
76,21st,Sarah's Key,Tatiana de Rosnay,23627,262,https://www.goodreads.com/book/show/556602.Sarah_s_Key,4.17,451153.0
77,21st,Nineteen Minutes,Jodi Picoult,22504,249,https://www.goodreads.com/book/show/14866.Nineteen_Minutes,4.13,326261.0
78,21st,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,21079,223,https://www.goodreads.com/book/show/3109.The_Omnivore_s_Dilemma,4.17,196425.0
79,21st,The Boy in the Striped Pajamas,John Boyne,21049,233,https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas,4.16,664919.0
80,21st,What Is the What,Dave Eggers,20899,221,https://www.goodreads.com/book/show/4952.What_Is_the_What,4.12,83416.0
81,21st,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,20754,222,https://www.goodreads.com/book/show/40102.Blink,3.95,546290.0
82,21st,The History of Love,Nicole Krauss,20719,223,https://www.goodreads.com/book/show/3867.The_History_of_Love,3.92,130055.0
83,21st,The White Tiger,Aravind Adiga,20359,222,https://www.goodreads.com/book/show/1768603.The_White_Tiger,3.76,179316.0
84,21st,Looking for Alaska,John Green,19781,217,https://www.goodreads.com/book/show/99561.Looking_for_Alaska,3.99,1356539.0
85,21st,11/22/63,Stephen King,18893,207,https://www.goodreads.com/book/show/10644930-11-22-63,4.31,476804.0
86,21st,Gilead,Marilynne Robinson,18868,203,https://www.goodreads.com/book/show/68210.Gilead,3.84,99211.0
87,21st,Ready Player One,Ernest Cline,18629,204,https://www.goodreads.com/book/show/9969571-ready-player-one,4.24,1018894.0
88,21st,The Story of Edgar Sawtelle,David Wroblewski,18211,198,https://www.goodreads.com/book/show/2731276-the-story-of-edgar-sawtelle,3.63,96527.0
89,21st,Dress Your Family in Corduroy and Denim,David Sedaris,18049,193,https://www.goodreads.com/book/show/10176.Dress_Your_Family_in_Corduroy_and_Denim,4.09,266343.0
90,21st,Empire Falls,Richard Russo,18017,195,https://www.goodreads.com/book/show/187020.Empire_Falls,3.92,117687.0
91,21st,The Year of Magical Thinking,Joan Didion,17989,197,https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking,3.91,185183.0
92,21st,John Adams,David McCullough,17907,194,https://www.goodreads.com/book/show/2203.John_Adams,4.06,344095.0
93,21st,"Anansi Boys (American Gods, #2)",Neil Gaiman,17153,185,https://www.goodreads.com/book/show/2744.Anansi_Boys,4.03,209813.0
94,21st,A Million Little Pieces,James Frey,17112,185,https://www.goodreads.com/book/show/1241.A_Million_Little_Pieces,3.66,239704.0
95,21st,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,16925,180,https://www.goodreads.com/book/show/43369.God_Is_Not_Great,3.95,100317.0
96,21st,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,16800,183,https://www.goodreads.com/book/show/8600.Eats_Shoots_Leaves,3.86,104251.0
97,21st,"Insurgent (Divergent, #2)",Veronica Roth,16647,193,https://www.goodreads.com/book/show/11735983-insurgent,3.99,1339052.0
98,21st,People of the Book,Geraldine Brooks,15889,174,https://www.goodreads.com/book/show/1379961.People_of_the_Book,4.01,134822.0
99,21st,Cutting for Stone,Abraham Verghese,15844,171,https://www.goodreads.com/book/show/3591262-cutting-for-stone,4.3,355300.0
100,21st,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,14894,167,https://www.goodreads.com/book/show/7171637-clockwork-angel,4.31,765678.0
101,21st,The Goldfinch,Donna Tartt,14845,162,https://www.goodreads.com/book/show/17333223-the-goldfinch,3.93,815499.0
102,21st,The Martian,Andy Weir,14750,166,https://www.goodreads.com/book/show/18007564-the-martian,4.41,961235.0
103,21st,The Immortal Life of Henrietta Lacks,Rebecca Skloot,14072,159,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks,4.09,661629.0
104,21st,Unaccustomed Earth,Jhumpa Lahiri,13883,152,https://www.goodreads.com/book/show/85301.Unaccustomed_Earth,4.11,89663.0
105,21st,We Need to Talk About Kevin,Lionel Shriver,13203,144,https://www.goodreads.com/book/show/80660.We_Need_to_Talk_About_Kevin,4.06,183513.0
106,21st,Coraline,Neil Gaiman,13117,147,https://www.goodreads.com/book/show/17061.Coraline,4.08,575963.0
108,21st,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,12953,148,https://www.goodreads.com/book/show/113436.Eragon,3.93,1598003.0
109,21st,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,12638,136,https://www.goodreads.com/book/show/25460.Animal_Vegetable_Miracle,4.03,106883.0
110,21st,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,12245,137,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons,4.32,600896.0
111,21st,"World Without End (Kingsbridge, #2)",Ken Follett,11819,130,https://www.goodreads.com/book/show/5064.World_Without_End,4.28,225956.0
112,21st,The Five People You Meet in Heaven,Mitch Albom,11784,131,https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven,3.96,642909.0
113,21st,On Beauty,Zadie Smith,11715,128,https://www.goodreads.com/book/show/3679.On_Beauty,3.75,77035.0
115,21st,The Known World,Edward P. Jones,11351,125,https://www.goodreads.com/book/show/67.The_Known_World,3.81,40337.0
116,21st,"Graceling (Graceling Realm, #1)",Kristin Cashore,11239,127,https://www.goodreads.com/book/show/3236307-graceling,4.07,428267.0
117,21st,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,11222,132,https://www.goodreads.com/book/show/4556058-the-last-olympian,4.52,817626.0
118,21st,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,11162,126,https://www.goodreads.com/book/show/13497.A_Feast_for_Crows,4.15,675205.0
119,21st,"The Maze Runner (The Maze Runner, #1)",James Dashner,10763,124,https://www.goodreads.com/book/show/6186357-the-maze-runner,4.04,1278876.0
120,21st,Freedom,Jonathan Franzen,10574,117,https://www.goodreads.com/book/show/7905092-freedom,3.77,160594.0
121,21st,"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,10381,112,https://www.goodreads.com/book/show/7822895-the-millennium-trilogy,4.44,53242.0
122,21st,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,10304,123,https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters,4.24,932304.0
123,21st,Thirteen Reasons Why,Jay Asher,10247,116,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why,3.87,880473.0
124,21st,World War Z: An Oral History of the Zombie War,Max Brooks,10057,115,https://www.goodreads.com/book/show/8908.World_War_Z,4.01,483550.0
125,21st,The Elegance of the Hedgehog,Muriel Barbery,9704,108,https://www.goodreads.com/book/show/2967752-the-elegance-of-the-hedgehog,3.79,167944.0
126,21st,The Ocean at the End of the Lane,Neil Gaiman,9696,108,https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane,4.01,544841.0
127,21st,Seabiscuit: An American Legend,Laura Hillenbrand,9641,108,https://www.goodreads.com/book/show/110737.Seabiscuit,4.2,157418.0
128,21st,Shantaram,Gregory David Roberts,9627,102,https://www.goodreads.com/book/show/33600.Shantaram,4.25,191091.0
129,21st,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,9503,116,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse,4.36,848070.0
130,21st,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,9365,107,https://www.goodreads.com/book/show/2802316-shadow-kiss,4.33,348365.0
131,21st,"Olive Kitteridge (Olive Kitteridge, #1)",Elizabeth Strout,9249,104,https://www.goodreads.com/book/show/1736739.Olive_Kitteridge,3.84,208019.0
132,21st,"Frostbite (Vampire Academy, #2)",Richelle Mead,9188,106,https://www.goodreads.com/book/show/2282133.Frostbite,4.26,335101.0
133,21st,2666,Roberto Bolaño,9175,99,https://www.goodreads.com/book/show/63032.2666,4.17,37405.0
134,21st,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,9141,111,https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth,4.41,892775.0
135,21st,The Last Lecture,Randy Pausch,9127,101,https://www.goodreads.com/book/show/2318271.The_Last_Lecture,4.25,326717.0
136,21st,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,9101,107,https://www.goodreads.com/book/show/6411961-the-lost-symbol,3.73,569170.0
137,21st,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,8952,107,https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children,3.91,1131635.0
138,21st,"Me Before You (Me Before You, #1)",Jojo Moyes,8671,101,https://www.goodreads.com/book/show/17347634-me-before-you,4.26,1389693.0
139,21st,The Tales of Beedle the Bard,J.K. Rowling,8659,104,https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard,4.05,456290.0
140,21st,"Inkheart (Inkworld, #1)",Cornelia Funke,8659,102,https://www.goodreads.com/book/show/28194.Inkheart,3.9,401477.0
141,21st,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,8613,99,https://www.goodreads.com/book/show/6101138-wolf-hall,3.89,191329.0
142,21st,The Plot Against America,Philip Roth,8595,98,https://www.goodreads.com/book/show/703.The_Plot_Against_America,3.78,57626.0
143,21st,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,8569,98,https://www.goodreads.com/book/show/7603.Reading_Lolita_in_Tehran,3.63,129378.0
144,21st,1Q84 (1Q84 #1-3),Haruki Murakami,8510,95,https://www.goodreads.com/book/show/10357575-1q84,3.93,232625.0
145,21st,"Uglies (Uglies, #1)",Scott Westerfeld,8374,97,https://www.goodreads.com/book/show/24770.Uglies,3.85,615244.0
146,21st,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,8189,91,https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,4.55,488518.0
147,21st,A Visit from the Goon Squad,Jennifer Egan,8146,91,https://www.goodreads.com/book/show/7331435-a-visit-from-the-goon-squad,3.68,192919.0
148,21st,The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,8034,81,https://www.goodreads.com/book/show/18300212-the-trigger,3.72,4509.0
149,21st,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,7937,91,https://www.goodreads.com/book/show/6339664-hush-hush,3.94,651441.0
150,21st,Peace Like a River,Leif Enger,7866,87,https://www.goodreads.com/book/show/227571.Peace_Like_a_River,3.99,86514.0
151,21st,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,7865,98,https://www.goodreads.com/book/show/6752378-city-of-fallen-angels,4.09,550267.0
152,21st,"Blood Promise (Vampire Academy, #4)",Richelle Mead,7860,92,https://www.goodreads.com/book/show/5996153-blood-promise,4.3,297640.0
153,21st,Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,7842,90,https://www.goodreads.com/book/show/1869.Nickel_and_Dimed,3.64,186331.0
154,21st,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,7800,91,https://www.goodreads.com/book/show/301082.Dead_Until_Dark,3.96,520042.0
155,21st,Let the Great World Spin,Colum McCann,7712,84,https://www.goodreads.com/book/show/5941033-let-the-great-world-spin,3.94,101893.0
156,21st,Running with Scissors,Augusten Burroughs,7508,87,https://www.goodreads.com/book/show/242006.Running_with_Scissors,3.74,374399.0
157,21st,The Yiddish Policemen's Union,Michael Chabon,7248,81,https://www.goodreads.com/book/show/16703.The_Yiddish_Policemen_s_Union,3.71,74718.0
158,21st,"The Passage (The Passage, #1)",Justin Cronin,7073,77,https://www.goodreads.com/book/show/6690798-the-passage,4.03,201266.0
159,21st,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,6994,87,https://www.goodreads.com/book/show/7736182-the-lost-hero,4.32,731451.0
160,21st,Half of a Yellow Sun,Chimamanda Ngozi Adichie,6974,80,https://www.goodreads.com/book/show/18749.Half_of_a_Yellow_Sun,4.32,134011.0
161,21st,Hotel on the Corner of Bitter and Sweet,Jamie Ford,6958,79,https://www.goodreads.com/book/show/3367956-hotel-on-the-corner-of-bitter-and-sweet,4.02,282218.0
162,21st,The Invention of Hugo Cabret,Brian Selznick,6935,81,https://www.goodreads.com/book/show/9673436-the-invention-of-hugo-cabret,4.21,176075.0
163,21st,Shutter Island,Dennis Lehane,6791,78,https://www.goodreads.com/book/show/21686.Shutter_Island,4.09,181022.0
164,21st,Mystic River,Dennis Lehane,6781,80,https://www.goodreads.com/book/show/21671.Mystic_River,4.15,139001.0
165,21st,Suite Française,Irène Némirovsky,6735,76,https://www.goodreads.com/book/show/43944.Suite_Fran_aise,3.83,71395.0
166,21st,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,6728,71,https://www.goodreads.com/book/show/27003.The_Eyre_Affair,3.88,129495.0
167,21st,One Day,David Nicholls,6627,74,https://www.goodreads.com/book/show/6280118-one-day,3.8,307693.0
168,21st,The Girl on the Train,Paula Hawkins,6500,78,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,3.95,2514366.0
169,21st,The Forgotten Garden,Kate Morton,6489,74,https://www.goodreads.com/book/show/3407877-the-forgotten-garden,4.14,208450.0
170,21st,Black Swan Green,David Mitchell,6465,70,https://www.goodreads.com/book/show/14316.Black_Swan_Green,3.96,40741.0
171,21st,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,6438,76,https://www.goodreads.com/book/show/6479259-spirit-bound,4.33,280118.0
172,21st,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,6350,71,https://www.goodreads.com/book/show/1097.Fast_Food_Nation,3.75,204212.0
173,21st,Little Bee,Chris Cleave,6349,73,https://www.goodreads.com/book/show/6948436-little-bee,3.72,234245.0
175,21st,"Delirium (Delirium, #1)",Lauren Oliver,6167,74,https://www.goodreads.com/book/show/11614718-delirium,3.96,448169.0
176,21st,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,5990,73,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey,3.66,2265093.0
177,21st,"The Final Empire (Mistborn, #1)",Brandon Sanderson,5989,65,https://www.goodreads.com/book/show/68428.The_Final_Empire,4.46,510326.0
178,21st,Let the Right One In,John Ajvide Lindqvist,5967,66,https://www.goodreads.com/book/show/943402.Let_the_Right_One_In,4.04,101295.0
179,21st,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,5902,74,https://www.goodreads.com/book/show/10025305-clockwork-prince,4.43,507979.0
180,21st,"Matched (Matched, #1)",Ally Condie,5893,73,https://www.goodreads.com/book/show/7735333-matched,3.64,722549.0
181,21st,Saturday,Ian McEwan,5838,67,https://www.goodreads.com/book/show/5015.Saturday,3.63,68073.0
182,21st,A Story of Yesterday,Sergio Cobo,5800,58,https://www.goodreads.com/book/show/58913358-a-story-of-yesterday,4.49,6059.0
183,21st,"The Year of the Flood (MaddAddam, #2)",Margaret Atwood,5723,64,https://www.goodreads.com/book/show/6080337-the-year-of-the-flood,4.05,117155.0
184,21st,"Odd Thomas (Odd Thomas, #1)",Dean Koontz,5633,64,https://www.goodreads.com/book/show/14995.Odd_Thomas,3.97,262320.0
185,21st,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,5566,63,https://www.goodreads.com/book/show/2199.Team_of_Rivals,4.25,175513.0
186,21st,"A Discovery of Witches (All Souls, #1)",Deborah Harkness,5530,65,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches,4.01,437506.0
187,21st,High in School,Salman Aditya,5500,55,https://www.goodreads.com/book/show/17159076-high-in-school,3.54,2846.0
188,21st,"Wonder (Wonder, #1)",R.J. Palacio,5427,68,https://www.goodreads.com/book/show/11387515-wonder,4.39,936786.0
189,21st,The Nightingale,Kristin Hannah,5402,64,https://www.goodreads.com/book/show/21853621-the-nightingale,4.59,947283.0
190,21st,Stiff: The Curious Lives of Human Cadavers,Mary Roach,5294,59,https://www.goodreads.com/book/show/32145.Stiff,4.05,195729.0
191,21st,Snow,Orhan Pamuk,5259,60,https://www.goodreads.com/book/show/11691.Snow,3.61,44816.0
192,21st,The Tale of Despereaux,Kate DiCamillo,5236,64,https://www.goodreads.com/book/show/37190.The_Tale_of_Despereaux,4.05,182033.0
193,21st,The Bookseller of Kabul,Åsne Seierstad,5154,62,https://www.goodreads.com/book/show/9838.The_Bookseller_of_Kabul,3.76,50769.0
194,21st,"If I Stay (If I Stay, #1)",Gayle Forman,5141,65,https://www.goodreads.com/book/show/4374400-if-i-stay,3.93,806417.0
195,21st,Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,5110,52,https://www.goodreads.com/book/show/6801755-flow-down-like-silver,3.89,5298.0
196,21st,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,4990,54,https://www.goodreads.com/book/show/599.Sex_Drugs_and_Cocoa_Puffs,3.73,70305.0
